Timestamp,co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed
2016-02-05T14:55:00Z,5900.0,,155.9,,14.6,582.0,195.0,,53.2,,,
2016-02-05T15:20:00Z,7800.0,,140.5,,15.5,582.0,195.0,,54.6,,,
2016-02-05T15:35:00Z,8700.0,,137.0,,19.0,580.0,252.0,,54.6,,,
2016-02-05T15:55:00Z,8400.0,,130.4,,17.4,580.0,252.0,,57.5,,,
2016-02-05T16:20:00Z,9600.0,,127.1,,14.2,580.0,252.0,,63.5,,,
2016-02-05T16:35:00Z,9200.0,,121.7,,12.6,580.0,,,65.8,,,
2016-02-05T17:00:00Z,8500.0,,99.9,,9.9,580.0,,,74.1,,,
2016-02-05T17:20:00Z,9000.0,,102.5,,10.4,580.0,,,81.8,,,
2016-02-05T17:35:00Z,9400.0,,99.2,,11.5,580.0,,,88.1,,,
2016-02-05T17:55:00Z,9400.0,,91.8,,9.3,580.0,,,95.8,,,
2016-02-05T18:20:00Z,8500.0,,81.5,,9.4,580.0,,,101.0,,,
2016-02-05T18:35:00Z,8500.0,,80.2,,9.8,580.0,,,101.2,,,
2016-02-05T18:55:00Z,8000.0,,85.4,,7.5,580.0,,,32.6,,,
2016-02-05T19:20:00Z,7400.0,,82.3,,7.3,580.0,,,42.3,,,
2016-02-05T19:35:00Z,7100.0,,72.5,,6.8,580.0,,,46.0,,,
2016-02-05T19:55:00Z,,,,,,580.0,,,,,,
2016-02-05T20:00:00Z,6700.0,,69.1,,8.0,,,,53.8,,,
2016-02-05T20:20:00Z,6600.0,,73.0,,8.0,580.0,,,56.6,,,
2016-02-05T20:35:00Z,6400.0,,73.7,,8.4,481.0,,,58.6,,,
2016-02-05T20:50:00Z,6000.0,,67.3,,7.8,481.0,,,57.5,,,
2016-02-06T06:35:00Z,900.0,,49.2,,225.2,259.0,124.0,,42.3,,,
2016-02-06T06:55:00Z,900.0,,39.3,,226.6,259.0,124.0,,37.2,,,
2016-02-06T07:15:00Z,900.0,,37.3,,230.9,259.0,124.0,,20.0,,,
2016-02-06T07:35:00Z,800.0,,34.8,,228.5,221.0,93.0,,8.3,,,
2016-02-06T08:00:00Z,900.0,,42.5,,224.4,221.0,93.0,,8.0,,,
2016-02-06T08:20:00Z,900.0,,47.2,,220.2,221.0,93.0,,10.3,,,
2016-02-06T08:35:00Z,,,,,,200.0,84.0,,,,,
2016-02-06T08:40:00Z,800.0,,44.0,,225.8,,,,0.6,,,
2016-02-06T08:55:00Z,800.0,,44.6,,201.6,200.0,84.0,,,,,
2016-02-06T09:20:00Z,900.0,,48.6,,193.3,200.0,84.0,,21.5,,,
2016-02-06T09:30:00Z,800.0,,50.5,,200.6,217.0,86.0,,30.0,,,
2016-02-06T18:20:00Z,3500.0,,120.7,,9.1,460.0,224.0,,29.2,,,
