Timestamp (UTC),co,no2,o3,pm10,pm25,so2
2024-01-01T08:00:00Z,1282.32,40.26,19.06,111.75,88.1,18.13
2024-01-01T08:15:00Z,1329.17,37.38,10.57,77.23,109.45,6.23
2024-01-01T08:30:00Z,1245.99,6.63,10.98,144.81,20.0,13.92
2024-01-01T08:45:00Z,1613.16,29.97,8.79,115.8,79.8,0.0
2024-01-01T09:00:00Z,1060.81,32.63,5.3,87.83,55.97,12.73
2024-01-01T09:15:00Z,932.43,34.84,28.87,165.06,55.54,23.3
2024-01-01T09:30:00Z,1333.7,53.26,4.59,30.0,46.22,9.69
2024-01-01T09:45:00Z,1710.25,34.38,0.0,53.59,20.0,7.84
2024-01-01T10:00:00Z,752.98,28.05,0.0,161.44,32.94,12.87
2024-01-01T10:15:00Z,1200.5,39.04,22.82,30.0,56.3,10.41
2024-01-01T10:30:00Z,1469.14,34.56,5.29,149.65,60.36,13.31
2024-01-01T10:45:00Z,1069.61,55.64,24.14,144.14,93.43,13.08
2024-01-01T11:00:00Z,1297.72,21.71,20.24,104.03,49.34,3.68
2024-01-01T11:15:00Z,1391.56,24.95,5.02,160.91,70.59,2.27
2024-01-01T11:30:00Z,991.03,22.21,17.39,96.71,83.7,11.39
2024-01-01T11:45:00Z,1021.08,10.74,16.72,30.0,20.0,0.0
2024-01-01T12:00:00Z,1475.32,27.46,0.02,128.78,59.26,24.89
2024-01-01T12:15:00Z,1574.03,22.56,26.78,214.61,41.36,19.82
2024-01-01T12:30:00Z,1293.36,26.64,24.42,212.59,36.13,6.79
2024-01-01T12:45:00Z,1283.17,30.76,29.4,70.85,36.12,12.33
2024-01-01T13:00:00Z,1478.68,28.84,0.0,118.56,31.88,0.0
2024-01-01T13:15:00Z,1228.19,33.65,1.37,137.27,51.19,26.27
2024-01-01T13:30:00Z,1079.68,38.96,30.17,224.35,53.1,0.0
2024-01-01T13:45:00Z,1161.3,13.94,14.17,55.95,56.04,11.55
2024-01-01T14:00:00Z,1221.32,26.59,15.08,128.35,47.28,13.91
2024-01-01T14:15:00Z,1469.24,51.42,14.37,126.09,20.0,9.39
2024-01-01T14:30:00Z,927.23,11.12,7.56,190.7,47.49,10.27
2024-01-01T14:45:00Z,1092.19,2.95,16.88,156.45,27.77,10.18
2024-01-01T15:00:00Z,1282.7,24.15,9.99,69.54,20.0,8.02
2024-01-01T15:15:00Z,1104.4,49.15,45.09,185.65,89.11,12.72
2024-01-01T15:30:00Z,1186.2,31.59,4.21,75.65,30.11,10.79
2024-01-01T15:45:00Z,1247.99,25.34,7.97,112.73,35.71,0.0
2024-01-01T16:00:00Z,1511.94,21.91,1.11,46.04,81.56,3.39
2024-01-01T16:15:00Z,1448.26,45.64,25.7,67.86,37.48,17.36
2024-01-01T16:30:00Z,1536.77,30.01,29.75,43.63,54.72,6.31
2024-01-01T16:45:00Z,1517.44,0.0,8.61,188.68,91.25,11.49
2024-01-01T17:00:00Z,1022.17,30.2,22.03,118.7,48.43,9.68
2024-01-01T17:15:00Z,1285.84,27.14,29.87,98.0,71.3,10.96
2024-01-01T17:30:00Z,992.31,25.88,8.88,161.93,81.49,8.83
2024-01-01T17:45:00Z,1088.66,24.65,16.08,65.28,66.3,5.8
2024-01-01T18:00:00Z,1466.86,23.88,10.27,157.32,42.93,5.67
2024-01-01T18:15:00Z,1151.82,41.97,0.0,125.87,45.96,9.69
2024-01-01T18:30:00Z,1297.71,11.35,3.65,170.19,46.01,18.24
2024-01-01T18:45:00Z,1152.18,43.93,16.69,122.87,72.3,17.41
2024-01-01T19:00:00Z,1452.99,39.38,15.84,30.0,20.0,7.2
2024-01-01T19:15:00Z,1190.92,42.53,6.34,129.2,33.09,7.95
2024-01-01T19:30:00Z,1392.33,13.48,25.88,51.35,30.37,18.77
2024-01-01T19:45:00Z,1478.43,39.56,23.66,143.55,33.2,1.16
2024-01-01T20:00:00Z,1512.28,39.13,20.4,40.11,44.53,11.92
2024-01-01T20:15:00Z,1311.25,25.72,6.53,46.53,47.87,3.71
2024-01-01T20:30:00Z,1320.51,26.32,9.83,99.19,82.03,14.38
2024-01-01T20:45:00Z,793.9,19.28,25.33,133.13,46.29,25.44
