Timestamp (UTC),co,no2,o3,pm10,pm25,so2
2020-02-05T08:00:00Z,1400.0,31.76,8.52,90.0,47.0,3.98
2020-02-05T08:15:00Z,1390.0,38.24,11.25,92.09,47.58,3.96
2020-02-05T08:30:00Z,1400.0,34.16,11.02,113.0,52.0,3.3
2020-02-05T08:45:00Z,1400.0,26.62,10.87,113.0,52.0,10.43
2020-02-05T09:15:00Z,1370.0,41.74,10.42,113.08,51.93,8.72
2020-02-05T09:45:00Z,1330.0,36.28,8.14,114.0,50.0,3.14
2020-02-05T10:00:00Z,1320.0,32.82,7.75,114.0,50.0,3.62
2020-02-05T10:15:00Z,1290.0,28.24,7.28,113.36,49.65,5.04
2020-02-05T10:45:00Z,1280.0,28.4,6.92,107.0,47.0,5.58
2020-02-05T11:00:00Z,1260.0,32.78,5.92,107.0,47.0,5.74
2020-02-05T11:15:00Z,1330.0,42.45,5.85,106.72,46.41,6.0
2020-02-05T11:30:00Z,1320.0,43.99,5.56,104.0,42.0,5.29
2020-02-05T11:45:00Z,1340.0,36.62,5.44,104.0,42.0,5.0
2020-02-05T12:00:00Z,1360.0,35.0,4.5,104.0,42.0,4.6
2020-02-05T12:15:00Z,1360.0,38.43,3.47,104.0,42.46,4.17
2020-02-05T12:30:00Z,1400.0,35.52,3.94,104.0,46.0,4.52
2020-02-05T12:45:00Z,1470.0,30.87,3.15,104.0,46.0,4.61
2020-02-05T13:00:00Z,1490.0,31.64,1.87,104.0,46.0,4.93
2020-02-05T13:15:00Z,1540.0,31.23,2.43,105.09,47.13,4.9
2020-02-05T13:30:00Z,1560.0,28.31,1.89,116.0,56.0,5.16
2020-02-05T13:45:00Z,1560.0,27.67,2.01,116.0,56.0,5.28
2020-02-05T14:00:00Z,1590.0,24.27,1.87,116.0,56.0,5.41
2020-02-05T14:15:00Z,1580.0,20.08,2.19,117.18,56.58,5.48
2020-02-05T14:30:00Z,1630.0,22.0,2.12,129.0,61.0,5.41
2020-02-05T14:45:00Z,1620.0,15.94,2.55,129.0,61.0,5.39
2020-02-05T15:00:00Z,1630.0,13.74,2.33,129.0,61.0,5.45
2020-02-05T15:15:00Z,1660.0,13.3,2.04,126.72,60.2,5.69
2020-02-05T15:30:00Z,1640.0,10.4,2.12,104.0,54.0,5.81
2020-02-05T15:45:00Z,1680.0,10.45,2.06,104.0,54.0,5.89
2020-02-05T16:00:00Z,1610.0,9.76,1.71,104.0,54.0,5.25
2020-02-05T16:15:00Z,1640.0,8.53,2.06,102.72,53.54,4.47
2020-02-05T16:30:00Z,1600.0,6.33,2.13,90.0,50.0,4.61
2020-02-05T16:45:00Z,1600.0,5.57,2.64,90.0,50.0,4.87
